,Student ID,# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Assignment 1 duration to submit (in hours),Assignment 2 duration to submit (in hours),Assignment 3 duration to submit (in hours),Average time to submit assignment (in hours),Engagement Level,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],Course Grade,Total [100],Class
0,student000000,143,344,58,0,3,0,0,0,178.16666669999998,92.71666667,116.16666670000001,129.0166667,H,95,91,70,90,84,64,85,85,G
1,student000001,70,342,0,0,4,0,0,0,294.03333330000004,196.08333330000002,217.75,235.9555556,L,85,76,65,61,73,64,76,76,G
2,student000002,42,219,0,0,3,0,0,0,169.6,235.7333333,260.3333333,221.88888889999998,L,85,41,73,61,73,61,73,73,G
3,student000003,92,271,2,0,6,0,0,0,341.15,245.9,271.21666669999996,286.0888889,L,80,78,80,79,79,57,80,79,G
4,student000004,116,379,0,0,1,0,0,0,325.5,236.2833333,260.7333333,274.1722222,L,85,91,78,80,84,67,85,85,G
5,student000005,62,358,0,0,0,0,0,0,182.8,89.88333333,107.66666670000001,126.78333329999998,H,80,79,83,87,82,60,83,83,G
6,student000006,76,213,0,0,0,0,0,0,220.6,200.4833333,224.8,215.2944444,L,70,91,80,81,79,73,85,85,G
7,student000007,78,237,0,0,3,0,0,0,171.2166667,91.33333333,111.8,124.78333329999998,H,75,65,63,71,78,31,64,64,G
8,student000008,69,218,0,0,1,0,1,0,132.95,296.0,103.4333333,177.4611111,L,80,87,85,88,89,59,85,85,G
9,student000009,89,360,9,0,3,0,0,0,304.9333333,213.05,232.66666669999998,250.2166667,L,70,68,85,91,82,71,86,86,G
10,student000010,91,264,0,0,5,0,0,0,276.9333333,235.83333330000002,255.83333330000002,256.2,L,90,93,88,87,90,73,92,93,G
11,student000011,101,301,0,0,3,0,0,0,246.58333330000002,210.4,223.6333333,226.8722222,L,70,93,65,91,80,44,74,74,G
12,student000012,42,97,0,0,1,0,0,0,332.0666667,240.45,265.53333330000004,279.35,L,80,86,63,78,75,37,68,69,G
13,student000013,71,166,0,0,1,0,0,0,340.55,247.5333333,306.15,298.0777778,L,80,86,83,89,92,66,88,88,G
14,student000014,78,413,1,0,9,0,0,0,169.66666669999998,76.61666667,102.6,116.29444440000002,H,100,92,90,79,81,76,92,92,G
15,student000015,31,183,0,0,0,0,0,0,196.5333333,103.7166667,128.1833333,142.8111111,H,80,80,70,86,92,50,79,79,G
16,student000016,95,301,0,0,3,0,0,0,184.2833333,89.41666667,111.61666670000001,128.4388889,H,75,86,88,90,83,79,91,91,G
17,student000017,90,319,0,0,0,0,0,0,131.0833333,41.58333333,66.0,79.55555556,H,70,70,88,76,80,66,82,82,G
18,student000018,230,289,1,0,2,0,0,0,132.0666667,43.38333333,68.55,81.33333333,H,90,58,93,66,83,80,89,89,G
19,student000019,116,298,31,0,2,0,0,0,82.41666667,29.56666667,56.06666667,56.01666667,H,80,64,63,81,62,51,69,69,G
20,student000020,51,281,0,0,2,0,0,0,306.3833333,214.0166667,234.15,251.5166667,L,65,93,88,89,82,56,82,82,G
21,student000021,78,196,0,0,3,0,0,1,329.15,240.1333333,632.0,400.4277778,L,80,76,68,44,60,51,66,66,G
22,student000022,67,220,0,0,0,0,0,0,191.1333333,98.03333333,122.63333329999999,137.2666667,H,70,79,85,83,86,61,83,83,G
23,student000023,43,125,0,0,0,0,0,0,113.5,31.51666667,44.8,63.27222222,H,80,67,50,71,73,44,66,66,G
24,student000024,77,339,0,0,2,0,0,0,181.9666667,92.7,118.35,131.00555559999998,H,70,85,90,83,85,54,82,82,G
25,student000025,46,218,0,0,2,0,0,0,327.1166667,235.33333330000002,255.83333330000002,272.7611111,L,70,67,68,63,74,57,72,72,G
26,student000026,45,255,1,0,1,0,0,0,318.6666667,226.2833333,253.5166667,266.1555556,L,70,85,75,72,55,40,65,65,G
27,student000027,31,160,0,0,3,0,0,0,120.7,30.91666667,55.05,68.88888889,H,85,82,73,78,74,64,80,80,G
28,student000028,55,282,1,0,1,0,0,0,109.23333329999998,50.93333333,73.81666667,77.99444444,H,85,78,83,83,91,66,87,87,G
29,student000029,53,165,0,0,3,0,0,0,324.75,237.8833333,260.75,274.4611111,L,95,68,68,71,89,53,78,78,G
30,student000030,87,291,0,0,3,0,0,0,196.0,152.4833333,151.5166667,166.66666669999998,H,95,89,85,92,87,67,90,90,G
31,student000031,87,326,0,0,2,0,0,0,297.8333333,209.56666669999998,230.4666667,245.9555556,L,70,79,85,84,100,69,89,90,G
32,student000032,86,243,10,0,3,0,0,0,359.0166667,240.1166667,264.9,288.0111111,L,80,86,63,69,83,49,73,74,G
33,student000033,50,154,0,0,2,0,0,0,150.2333333,80.86666667,81.33333333,104.1444444,H,80,73,88,64,81,66,82,82,G
34,student000034,74,184,3,3,3,0,0,0,179.3666667,214.8666667,233.7166667,209.31666669999998,L,95,90,80,73,95,66,88,88,G
35,student000035,72,275,0,0,2,0,0,0,229.1333333,232.85,258.4,240.1277778,L,85,83,60,81,78,46,72,72,G
36,student000036,1,355,0,0,1,0,0,0,293.6166667,183.25,198.2,225.02222220000002,L,75,88,63,81,72,43,70,70,G
37,student000037,72,228,0,0,0,0,0,0,328.3666667,234.9,272.0166667,278.4277778,L,80,92,65,88,81,71,84,84,G
38,student000038,62,197,0,0,2,0,0,0,302.03333330000004,188.25,213.3,234.5277778,L,80,96,88,93,93,93,100,100,G
39,student000039,66,208,0,0,0,0,0,0,182.7833333,95.63333333,125.75,134.72222219999998,H,75,90,75,86,84,73,86,87,G
40,student000040,77,492,0,0,4,0,0,0,165.2,69.21666667,95.73333333,110.05,H,90,93,85,91,92,71,92,92,G
41,student000041,45,152,0,0,1,1,0,0,558.0,276.28333330000004,319.5,384.5944444,L,75,0,68,62,90,47,67,67,G
42,student000042,52,186,0,0,2,0,0,0,144.0,51.01666667,74.78333333,89.93333333,H,75,85,78,85,82,64,83,83,G
43,student000043,123,358,0,0,4,0,0,0,136.5166667,45.51666667,79.15,87.06111111,H,90,78,83,93,84,73,89,90,G
44,student000044,66,371,0,0,0,0,0,0,339.85,246.7333333,272.05,286.2111111,L,70,82,68,81,83,36,70,70,G
45,student000045,51,193,0,0,1,0,0,0,110.46666670000002,30.58333333,54.05,65.03333333,H,85,80,80,91,74,60,81,81,G
46,student000046,61,342,0,0,2,0,0,0,304.25,210.6,230.45,248.43333330000002,L,75,83,88,84,90,73,90,90,G
47,student000047,76,375,0,0,2,0,0,0,325.25,247.25,270.03333330000004,280.8444444,L,85,77,78,73,84,60,81,81,G
48,student000048,87,177,0,0,2,0,0,0,332.45,240.8833333,259.15,277.49444439999996,L,90,85,83,81,89,59,85,85,G
49,student000049,87,361,1,2,2,0,0,0,111.11666670000001,59.93333333,85.88333333,85.64444444,H,80,86,80,91,90,80,92,92,G
50,student000050,54,245,0,0,3,0,0,0,193.41666669999998,213.4833333,234.5333333,213.8111111,L,70,84,75,81,93,53,80,80,G
51,student000051,43,353,0,0,0,0,0,0,326.3666667,249.45,273.0166667,282.94444439999995,L,75,84,48,71,88,34,66,66,G
52,student000052,55,219,0,0,2,0,0,0,305.65,200.16666669999998,219.68333330000002,241.83333330000002,L,70,83,70,71,75,46,71,71,G
53,student000053,87,192,0,0,1,0,0,0,301.1166667,187.7333333,211.9833333,233.61111110000002,L,70,93,88,83,87,60,85,85,G
54,student000054,95,305,4,3,4,0,0,0,135.25,47.8,67.6,83.55,H,75,89,83,85,86,73,88,88,G
55,student000055,84,136,0,0,2,0,0,0,279.5166667,185.2,208.4,224.3722222,L,85,74,65,66,65,43,66,67,G
56,student000056,138,512,0,0,3,0,0,0,130.75,45.83333333,57.91666667,78.16666667,H,75,85,90,87,90,69,89,89,G
57,student000057,80,194,0,0,1,0,0,0,196.25,92.9,111.28333329999998,133.47777779999998,H,70,69,78,79,77,50,74,74,G
58,student000058,74,251,3,3,1,0,0,0,110.9,80.68333333,128.5166667,106.7,H,70,74,93,74,80,76,87,87,G
